continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,days
Africa,Kenya,2020-06-20,4374.0,117.0,119.0,2.0,81.345,2.176,2.213,,,,,53771300,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,172
Europe,Kosovo,2020-06-20,1486.0,0.0,33.0,0.0,768.8430000000001,0.0,17.074,,,,,1932774,168.155,,,,9795.834,0.6,,,,,,,,172
Asia,Kuwait,2020-06-20,38678.0,604.0,313.0,5.0,9056.885,141.433,73.292,,,,,4270563,232.128,33.7,2.345,1.114,65530.537000000004,,132.235,15.84,2.7,37.0,,2.0,75.49,172
Asia,Kyrgyzstan,2020-06-20,2981.0,192.0,35.0,3.0,456.915,29.429000000000002,5.365,,,,,6524191,32.333,26.3,4.489,2.8819999999999997,3393.474,1.4,436.36199999999997,7.11,3.6,50.5,89.22,4.5,71.45,172
Asia,Laos,2020-06-20,19.0,0.0,0.0,0.0,2.611,0.0,0.0,,,,,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,172
Europe,Latvia,2020-06-20,1110.0,2.0,30.0,0.0,588.484,1.06,15.905,,,,,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,172
Asia,Lebanon,2020-06-20,1510.0,15.0,32.0,0.0,221.231,2.198,4.688,,,,,6825442,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,172
Africa,Lesotho,2020-06-20,4.0,0.0,0.0,0.0,1.867,0.0,0.0,,,,,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,172
Africa,Liberia,2020-06-20,581.0,39.0,33.0,0.0,114.875,7.711,6.525,,,,,5057677,49.126999999999995,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,172
Africa,Libya,2020-06-20,510.0,10.0,10.0,0.0,74.222,1.455,1.455,,,,,6871287,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,341.86199999999997,10.43,,,,3.7,72.91,172
Europe,Liechtenstein,2020-06-20,83.0,0.0,1.0,0.0,2176.364,0.0,26.221,,,,,38137,237.012,,,,,,,7.77,,,,2.397,82.49,172
Europe,Lithuania,2020-06-20,1792.0,8.0,76.0,0.0,658.2689999999999,2.9389999999999996,27.918000000000003,,,,,2722291,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,172
Europe,Luxembourg,2020-06-20,4099.0,8.0,110.0,0.0,6548.174,12.78,175.726,,,,,625976,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,172
Europe,Macedonia,2020-06-20,4820.0,156.0,222.0,6.0,2313.548,74.878,106.55799999999999,,,,,2083380,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,172
Africa,Madagascar,2020-06-20,1443.0,40.0,13.0,0.0,52.111000000000004,1.445,0.469,,,,,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,172
Africa,Malawi,2020-06-20,620.0,28.0,8.0,0.0,32.41,1.464,0.418,,,,,19129955,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,227.34900000000002,3.94,4.4,24.7,8.704,1.3,64.26,172
Asia,Malaysia,2020-06-20,8535.0,6.0,121.0,0.0,263.703,0.185,3.738,,,,,32365998,96.25399999999999,29.9,6.292999999999999,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,172
Asia,Maldives,2020-06-20,2150.0,13.0,8.0,0.0,3977.489,24.05,14.8,,,,,540542,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,172
Africa,Mali,2020-06-20,1923.0,17.0,108.0,1.0,94.959,0.8390000000000001,5.332999999999999,,,,,20250834,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,172
Europe,Malta,2020-06-20,663.0,0.0,9.0,0.0,1501.566,0.0,20.383,,,,,441539,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,168.71099999999998,8.83,20.9,30.2,,4.485,82.53,172
Africa,Mauritania,2020-06-20,2223.0,0.0,95.0,0.0,478.099,0.0,20.432000000000002,,,,,4649660,4.289,20.3,3.138,1.7919999999999998,3597.633,6.0,232.347,2.42,,,15.95,,64.92,172
Africa,Mauritius,2020-06-20,337.0,0.0,10.0,0.0,264.986,0.0,7.8629999999999995,,,,,1271767,622.962,37.4,10.945,5.8839999999999995,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,172
North America,Mexico,2020-06-20,170485.0,5030.0,20394.0,647.0,1322.2779999999998,39.013000000000005,158.175,,,,,128932753,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,152.783,13.06,6.9,21.4,87.84700000000001,1.38,75.05,172
Europe,Moldova,2020-06-20,13556.0,450.0,450.0,6.0,3360.467,111.553,111.553,,,,80.56,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.50199999999995,5.72,5.9,44.6,86.979,5.8,71.9,172
Europe,Monaco,2020-06-20,99.0,0.0,5.0,0.0,2522.679,0.0,127.40799999999999,,,,,39244,19347.5,,,,,,,5.46,,,,13.8,86.75,172
Asia,Mongolia,2020-06-20,204.0,0.0,0.0,0.0,62.228,0.0,0.0,,,,,3278292,1.98,28.6,4.031000000000001,2.421,11840.846000000001,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,172
Europe,Montenegro,2020-06-20,355.0,18.0,9.0,0.0,565.231,28.66,14.33,,,,,628062,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,172
North America,Montserrat,2020-06-20,11.0,0.0,1.0,0.0,2200.44,0.0,200.04,,,,,4999,,,,,,,,,,,,,74.16,172
Africa,Morocco,2020-06-20,9613.0,539.0,213.0,0.0,260.44,14.603,5.771,,,,,36910558,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,,1.1,76.68,172
Africa,Mozambique,2020-06-20,668.0,6.0,4.0,0.0,21.372,0.192,0.128,,,,,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.94199999999995,3.3,5.1,29.1,12.227,0.7,60.85,172
Asia,Myanmar,2020-06-20,286.0,0.0,6.0,0.0,5.256,0.0,0.11,,,,,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.28699999999999,0.9,67.13,172
Africa,Namibia,2020-06-20,45.0,6.0,0.0,0.0,17.71,2.3609999999999998,0.0,,,,,2540916,3.0780000000000003,22.0,3.552,2.085,9541.808,13.4,243.81099999999998,3.94,9.7,34.2,44.6,,63.71,172
Asia,Nepal,2020-06-20,8274.0,426.0,22.0,0.0,283.971,14.620999999999999,0.755,,,,,29136808,204.43,25.0,5.809,3.2119999999999997,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,172
Europe,Netherlands,2020-06-20,49426.0,107.0,6081.0,3.0,2884.527,6.245,354.89,,,,,17134873,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,172
Oceania,New Caledonia,2020-06-20,21.0,0.0,0.0,0.0,73.557,0.0,0.0,,,,,285491,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,172
Oceania,New Zealand,2020-06-20,1159.0,2.0,22.0,0.0,240.345,0.415,4.562,,,,,4822233,18.206,37.9,15.322000000000001,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,172
North America,Nicaragua,2020-06-20,2014.0,0.0,64.0,0.0,304.02,0.0,9.661,,,,,6624554,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,137.016,11.47,,,,0.9,74.48,172
Africa,Niger,2020-06-20,1020.0,0.0,67.0,0.0,42.137,0.0,2.7680000000000002,,,,,24206636,16.955,15.1,2.553,1.3780000000000001,926.0,44.5,238.33900000000003,2.42,0.1,15.4,8.978,0.3,62.42,172
Africa,Nigeria,2020-06-20,19147.0,667.0,487.0,12.0,92.884,3.236,2.362,,,,,206139587,209.588,18.1,2.7510000000000003,1.4469999999999998,5338.454000000001,,181.013,2.42,0.6,10.8,41.949,,54.69,172
Oceania,Northern Mariana Islands,2020-06-20,30.0,0.0,2.0,0.0,521.222,0.0,34.748000000000005,,,,,57557,119.87799999999999,,,,,,194.99400000000003,,,,,,76.74,172
Europe,Norway,2020-06-20,8692.0,0.0,244.0,0.0,1603.3229999999999,0.0,45.008,,,,,5421242,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,172
Asia,Oman,2020-06-20,27670.0,852.0,125.0,6.0,5418.455,166.842,24.478,,,,,5106622,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,172
Asia,Pakistan,2020-06-20,171666.0,6604.0,3382.0,153.0,777.148,29.897,15.311,,,,,220892331,255.57299999999998,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,172
Asia,Palestine,2020-06-20,858.0,63.0,5.0,0.0,168.18900000000002,12.35,0.98,,,,,5101416,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,172
North America,Panama,2020-06-20,24274.0,923.0,485.0,10.0,5625.795,213.916,112.405,,,,,4314768,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,172
Oceania,Papua New Guinea,2020-06-20,8.0,0.0,0.0,0.0,0.894,0.0,0.0,,,,,8947027,18.22,22.6,3.8080000000000003,2.142,3823.1940000000004,,561.494,17.65,23.5,48.8,,,64.5,172
South America,Paraguay,2020-06-20,1336.0,6.0,13.0,0.0,187.31099999999998,0.841,1.8230000000000002,,,,,7132530,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,172
South America,Peru,2020-06-20,247925.0,3537.0,7660.0,199.0,7519.294,107.273,232.31900000000002,,,,89.81,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,172
Asia,Philippines,2020-06-20,28459.0,660.0,1130.0,14.0,259.707,6.023,10.312000000000001,,,,,109581085,351.87300000000005,25.2,4.803,2.661,7599.188,,370.43699999999995,7.07,7.8,40.8,78.46300000000001,1.0,71.23,172
Europe,Poland,2020-06-20,31316.0,301.0,1334.0,18.0,827.445,7.952999999999999,35.248000000000005,,,,,37846605,124.027,41.8,16.762999999999998,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,172
Europe,Portugal,2020-06-20,38464.0,375.0,1527.0,3.0,3772.198,36.777,149.754,,,,,10196707,112.37100000000001,46.2,21.502,14.924000000000001,27936.896,0.5,127.84200000000001,9.85,16.3,30.0,,3.39,82.05,172
North America,Puerto Rico,2020-06-20,6111.0,0.0,147.0,0.0,2136.0860000000002,0.0,51.38399999999999,,,,,2860840,376.23199999999997,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,172
Asia,Qatar,2020-06-20,85462.0,1021.0,93.0,7.0,29663.388,354.38300000000004,32.28,,,,,2881060,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,172
Europe,Romania,2020-06-20,23400.0,320.0,1484.0,11.0,1216.363,16.634,77.14,,,,,19237682,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,172
Europe,Russia,2020-06-20,569063.0,7972.0,7972.0,182.0,3899.442,54.626999999999995,54.626999999999995,,,,,145934460,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,431.29699999999997,6.18,23.4,58.3,,8.05,72.58,172
Africa,Rwanda,2020-06-20,661.0,15.0,2.0,0.0,51.034,1.158,0.154,,,,,12952209,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,172
North America,Saint Kitts and Nevis,2020-06-20,15.0,0.0,0.0,0.0,281.997,0.0,0.0,,,,,53192,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,172
North America,Saint Lucia,2020-06-20,19.0,0.0,0.0,0.0,103.469,0.0,0.0,,,,,183629,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.20200000000001,1.3,76.2,172
North America,Saint Vincent and the Grenadines,2020-06-20,29.0,0.0,0.0,0.0,261.38599999999997,0.0,0.0,,,,,110947,281.78700000000003,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,172
Europe,San Marino,2020-06-20,696.0,0.0,42.0,0.0,20507.985,0.0,1237.5510000000002,,,,,33938,556.6669999999999,,,,56861.47,,,5.64,,,,3.8,84.97,172
Africa,Sao Tome and Principe,2020-06-20,693.0,5.0,12.0,0.0,3162.059,22.814,54.754,,,,,219161,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,270.113,2.42,,,41.34,2.9,70.39,172
Asia,Saudi Arabia,2020-06-20,150292.0,4301.0,1184.0,45.0,4317.015,123.54299999999999,34.009,,,,,34813867,15.322000000000001,31.9,3.295,1.845,49045.41099999999,,259.538,17.72,1.8,25.4,,2.7,75.13,172
Africa,Senegal,2020-06-20,5639.0,164.0,79.0,3.0,336.779,9.795,4.718,,,,,16743930,82.32799999999999,18.7,3.008,1.796,2470.58,38.0,241.21900000000002,2.42,0.4,16.6,20.859,,67.94,172
Europe,Serbia,2020-06-20,12709.0,93.0,259.0,1.0,1867.7079999999999,13.667,38.063,,,,,6804596,80.291,41.2,17.366,,14048.881000000001,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,172
Africa,Seychelles,2020-06-20,11.0,0.0,0.0,0.0,111.85700000000001,0.0,0.0,,,,,98340,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,172
Africa,Sierra Leone,2020-06-20,1298.0,26.0,53.0,2.0,162.718,3.259,6.644,,,,,7976985,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,172
Asia,Singapore,2020-06-20,41615.0,142.0,26.0,0.0,7113.258000000001,24.272,4.444,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,172
Europe,Slovakia,2020-06-20,1576.0,14.0,28.0,0.0,288.664,2.5639999999999996,5.129,,,,,5459643,113.12799999999999,41.2,15.07,9.167,30155.152000000002,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,172
Europe,Slovenia,2020-06-20,1513.0,2.0,109.0,0.0,727.778,0.9620000000000001,52.431000000000004,,,,,2078932,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,172
Africa,Somalia,2020-06-20,2719.0,0.0,88.0,0.0,171.079,0.0,5.537000000000001,,,,,15893219,23.5,16.8,2.7310000000000003,1.496,,,365.769,6.05,,,9.831,0.9,57.4,172
Africa,South Africa,2020-06-20,87715.0,3825.0,1831.0,94.0,1478.957,64.493,30.872,,,,,59308690,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,172
Asia,South Korea,2020-06-20,12373.0,67.0,280.0,0.0,241.334,1.307,5.461,,,,,51269183,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,172
Africa,South Sudan,2020-06-20,1813.0,0.0,31.0,0.0,161.966,0.0,2.7689999999999997,,,,,11193729,,19.2,3.4410000000000003,2.032,1569.888,,280.775,10.43,,,,,57.85,172
Asia,Sri Lanka,2020-06-20,1950.0,3.0,11.0,0.0,91.065,0.14,0.514,,,,,21413250,341.955,34.1,10.068999999999999,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,172
Africa,Sudan,2020-06-20,8316.0,296.0,506.0,19.0,189.65,6.75,11.54,,,,,43849269,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,431.38800000000003,15.67,,,23.436999999999998,0.8,65.31,172
South America,Suriname,2020-06-20,293.0,16.0,8.0,1.0,499.46,27.274,13.637,,,,,586634,3.612,29.6,6.933,4.229,13767.118999999999,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,172
Africa,Swaziland,2020-06-20,623.0,37.0,4.0,0.0,536.993,31.892,3.448,,,,,1160164,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,172
Europe,Sweden,2020-06-20,56043.0,0.0,5053.0,0.0,5549.213000000001,0.0,500.333,,,,,10099270,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,172
Europe,Switzerland,2020-06-20,31217.0,100.0,1680.0,3.0,3606.9759999999997,11.555,194.11599999999999,,,,,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,172
Asia,Syria,2020-06-20,187.0,0.0,7.0,0.0,10.685,0.0,0.4,,,,,17500657,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,172
Asia,Taiwan,2020-06-20,446.0,0.0,7.0,0.0,18.726,0.0,0.294,,,,,23816775,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,172
Asia,Tajikistan,2020-06-20,5338.0,59.0,51.0,0.0,559.677,6.186,5.347,,,,,9537642,64.281,23.3,3.466,2.155,2896.913,4.8,427.69800000000004,7.11,,,72.704,4.8,71.1,172
Africa,Tanzania,2020-06-20,509.0,0.0,21.0,0.0,8.521,0.0,0.35200000000000004,,,,,59734213,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,172
Asia,Thailand,2020-06-20,3146.0,5.0,58.0,0.0,45.071999999999996,0.07200000000000001,0.831,,,,,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,172
Asia,Timor,2020-06-20,24.0,0.0,0.0,0.0,18.203,0.0,0.0,,,,,1318442,87.176,18.0,3.556,1.8969999999999998,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,172
Africa,Togo,2020-06-20,555.0,8.0,13.0,0.0,67.039,0.966,1.57,,,,,8278737,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,172
North America,Trinidad and Tobago,2020-06-20,123.0,0.0,8.0,0.0,87.889,0.0,5.716,,,,,1399491,266.88599999999997,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,172
Africa,Tunisia,2020-06-20,1146.0,14.0,50.0,0.0,96.96600000000001,1.185,4.231,,,,,11818618,74.22800000000001,32.7,8.001,5.075,10849.296999999999,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,172
Asia,Turkey,2020-06-20,185245.0,1214.0,4905.0,23.0,2196.4320000000002,14.394,58.158,,,,,84339067,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,172
Africa,Uganda,2020-06-20,755.0,14.0,0.0,0.0,16.506,0.306,0.0,,,,,45741000,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.221999999999998,0.5,63.37,172
Europe,Ukraine,2020-06-20,34984.0,921.0,985.0,19.0,799.931,21.059,22.523000000000003,,,,,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,172
Asia,United Arab Emirates,2020-06-20,44145.0,393.0,300.0,2.0,4463.419,39.736,30.331999999999997,,,,,9890400,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,172
Europe,United Kingdom,2020-06-20,301815.0,1346.0,42461.0,173.0,4445.909000000001,19.827,625.475,,,,,67886004,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,172
North America,United States,2020-06-20,2220961.0,29909.0,119112.0,678.0,6709.798000000001,90.359,359.852,,,,,331002647,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,172
North America,United States Virgin Islands,2020-06-20,74.0,1.0,6.0,0.0,708.6560000000001,9.576,57.458999999999996,,,,,104423,306.48,42.2,18.601,10.799000000000001,,,273.67,12.26,,,,,80.58,172
South America,Uruguay,2020-06-20,853.0,3.0,24.0,0.0,245.558,0.8640000000000001,6.909,,,,,3473727,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,172
Asia,Uzbekistan,2020-06-20,6025.0,170.0,19.0,0.0,180.016,5.079,0.568,,,,,33469199,76.134,28.2,4.468999999999999,2.873,6253.104,,724.4169999999999,7.57,1.3,24.7,,4.0,71.72,172
South America,Venezuela,2020-06-20,3591.0,107.0,30.0,2.0,126.28399999999999,3.763,1.055,,,,,28435943,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,172
Asia,Vietnam,2020-06-20,349.0,7.0,0.0,0.0,3.585,0.07200000000000001,0.0,,,,,97338583,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.84700000000001,2.6,75.4,172
Africa,Western Sahara,2020-06-20,25.0,2.0,1.0,0.0,41.853,3.3480000000000003,1.6740000000000002,,,,,597330,,28.4,,1.38,,,,,,,,,70.26,172
Asia,Yemen,2020-06-20,919.0,13.0,251.0,3.0,30.811999999999998,0.436,8.415,,,,,29825968,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,495.00300000000004,5.35,7.6,29.2,49.542,0.7,66.12,172
Africa,Zambia,2020-06-20,1430.0,14.0,11.0,0.0,77.785,0.762,0.598,,,,,18383956,22.995,17.7,2.48,1.5419999999999998,3689.2509999999997,57.5,234.49900000000002,3.94,3.1,24.7,13.937999999999999,2.0,63.89,172
Africa,Zimbabwe,2020-06-20,479.0,16.0,4.0,0.0,32.228,1.077,0.26899999999999996,,,,,14862927,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,172
,World,2020-06-20,8633778.0,176963.0,462076.0,5120.0,1107.633,22.703000000000003,59.28,,,,,7794798729,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,172
